VS2,VSe2,VTe2,MoS2,MoSe2,MoTe2,TiS2,TiSe2,TiTe2,WS2,WSe2,WTe2,ScS2,ScSe2,ScTe2,NiS2,NiSe2,NiTe2,V,Mo,Ti,W,Sc,Ni,S2,Se2,Te2,AvgFormE,AvgMass,AvgRadius,AvgElecNeg,WeightDif,Formation E
0,0,0,0,9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,9,0,1,0,0,2,18,0,-0.7035,84.43293334,123.6667,2.4286,679.0226667,-4.380382
0,0,0,0,8,0,0,0,0,2,0,0,0,0,0,0,0,0,0,8,0,2,0,0,4,16,0,-0.737,84.2352,122.3334,2.4372,511.7386667,-3.83766405
0,0,0,0,7,0,0,0,0,3,0,0,0,0,0,0,0,0,0,7,0,3,0,0,6,14,0,-0.7705,84.03746667,121.0001,2.4458,344.4546667,-3.31036097
0,0,0,0,6,0,0,0,0,4,0,0,0,0,0,0,0,0,0,6,0,4,0,0,8,12,0,-0.804,83.83973333,119.6668,2.4544,177.1706667,-2.79529816
0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,5,0,0,10,10,0,-0.8375,83.642,118.3335,2.463,9.8866667,-2.29241823
0,0,0,0,4,0,0,0,0,6,0,0,0,0,0,0,0,0,0,4,0,6,0,0,12,8,0,-0.871,83.44426667,117.0002,2.4716,157.3973333,-1.80126288
0,0,0,0,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,3,0,7,0,0,14,6,0,-0.9045,83.24653333,115.6669,2.4802,324.6813333,-1.32183192
0,0,0,0,2,0,0,0,0,8,0,0,0,0,0,0,0,0,0,2,0,8,0,0,16,4,0,-0.938,83.0488,114.3336,2.4888,491.9653333,-0.8535521
0,0,0,0,1,0,0,0,0,9,0,0,0,0,0,0,0,0,0,1,0,9,0,0,18,2,0,-0.9715,82.85106666,113.0003,2.4974,659.2493333,-0.40050238
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,1,0,0,0,0,9,20,0,0,-0.4952,40.6793,111.667,2.3464,330.085,0.83109157
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,2,0,0,0,0,8,20,0,0,-0.5534,40.42093334,111.667,2.3368,250.7933334,0.74160495
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,3,0,0,0,0,7,20,0,0,-0.6116,40.16256667,111.667,2.3272,171.5016667,0.71952633
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,4,0,0,0,0,6,20,0,0,-0.6698,39.9042,111.667,2.3176,92.21000002,0.60315928
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,0,5,20,0,0,-0.728,39.64583334,111.667,2.308,12.91833335,0.49483881
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,6,0,0,0,0,4,20,0,0,-0.7862,39.38746667,111.667,2.2984,66.37333332,0.30477502
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,7,0,0,0,0,3,20,0,0,-0.8444,39.1291,111.667,2.2888,145.665,0.1144773
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,8,0,0,0,0,2,20,0,0,-0.9026,38.87073333,111.667,2.2792,224.9566667,-0.11315883
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9,0,0,0,0,1,20,0,0,-0.9608,38.61236667,111.667,2.2696,304.2483333,0.28619125
1,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,0,0,0,0,20,0,0,-1.0487,51.8564,114.6667,2.422,441.856,0.15046433
2,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,0,0,0,0,20,0,0,-1.0454,50.35613334,114.3334,2.404,350.1453334,0.11985831
3,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,0,0,0,20,0,0,-1.0421,48.85586667,114.0001,2.386,258.4346667,0.11512633
4,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,0,0,0,20,0,0,-1.0388,47.3556,113.6668,2.368,166.724,0.11220095
5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,20,0,0,-1.0355,45.85533334,113.3335,2.35,75.01333335,0.11162669
6,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,0,0,0,20,0,0,-1.0322,44.35506667,113.0002,2.332,16.69733332,0.11174888
7,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,0,0,0,20,0,0,-1.0289,42.8548,112.6669,2.314,108.408,0.11412011
8,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,0,0,20,0,0,-1.0256,41.35453333,112.3336,2.296,200.1186667,0.11019503
9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,0,0,0,20,0,0,-1.0223,39.85426667,112.0003,2.278,291.8293333,0.12045213
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,10,10,10,0,-0.3395,56.57466667,116.667,2.346,156.37,0.95082587
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,0,0,0,0,0,10,12,8,0,-0.359,53.44726667,115.667,2.348,43.22066666,0.98090653
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,0,0,0,0,0,10,14,6,0,-0.3785,50.31986667,114.667,2.35,69.92866668,1.00201044
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,0,0,0,0,10,16,4,0,-0.398,47.19246667,113.667,2.352,183.078,1.01952051
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,0,0,0,0,0,10,18,2,0,-0.4175,44.06506667,112.667,2.354,296.2273334,1.05771477
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,0,0,0,0,0,0,10,2,18,0,-0.2615,69.08426667,120.667,2.338,608.9673334,0.85552148
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,0,0,0,0,0,0,10,4,16,0,-0.281,65.95686667,119.667,2.34,495.818,0.88596578
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,0,0,0,0,0,10,6,14,0,-0.3005,62.82946667,118.667,2.342,382.6686667,0.90208629
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,0,0,0,0,0,10,8,12,0,-0.32,59.70206667,117.667,2.344,269.5193333,0.92786931
0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,2,0,0,0,0,0,0,8,2,4,16,0,-0.9378,62.29366667,126.3334,2.1936,459.186,-2.09597714
0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,3,0,0,0,0,0,0,7,3,6,14,0,-0.8752,59.62416667,124.5001,2.2139,350.6156667,-1.66044271
0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,4,0,0,0,0,0,0,6,4,8,12,0,-0.8126,56.95466667,122.6668,2.2342,242.0453333,-1.27173836
0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,5,5,10,10,0,-0.75,54.28516667,120.8335,2.2545,133.475,-0.94473867
0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,0,0,0,0,0,0,4,6,12,8,0,-0.6874,51.61566667,119.0002,2.2748,24.90466666,-1.76386225
0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,0,0,0,0,0,0,3,7,14,6,0,-0.6248,48.94616667,117.1669,2.2951,83.66566668,-0.58765207
