column_name,type
VS2,categorical
VSe2,categorical
VTe2,categorical
MoS2,categorical
MoSe2,categorical
MoTe2,categorical
TiS2,categorical
TiSe2,categorical
TiTe2,categorical
WS2,categorical
WSe2,categorical
WTe2,categorical
ScS2,categorical
ScSe2,categorical
ScTe2,categorical
NiS2,categorical
NiSe2,categorical
NiTe2,categorical
V,categorical
Mo,categorical
Ti,categorical
W,categorical
Sc,categorical
Ni,categorical
S2,categorical
Se2,categorical
Te2,categorical
AvgFormE,numerical
AvgMass,numerical
AvgRadius,numerical
AvgElecNeg,numerical
WeightDif,numerical
Formation E,numerical
